artist_id,artist_name,album_id,album_title,track_id,track_name,genre_name,genre_id
230,Aaron Copland & London Symphony Orchestra,296,"A Copland Celebration, Vol. I",3427,Fanfare for the Common Man,Classical,24
202,Aaron Goldberg,267,Worlds,3357,OAM's Blues,Jazz,2
215,Academy of St. Martin in the Fields Chamber Ensemble & Sir Neville Marriner,281,Sir Neville Marriner: A Celebration,3412,"""Eine Kleine Nachtmusik"" Serenade In G, K. 525: I. Allegro",Classical,24
222,"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",288,"Fauré: Requiem, Ravel: Pavane & Others",3419,"Requiem, Op.48: 4. Pie Jesu",Classical,24
214,Academy of St. Martin in the Fields & Sir Neville Marriner,280,The World of Classical Favourites,3438,Fantasia On Greensleeves,Classical,24
214,Academy of St. Martin in the Fields & Sir Neville Marriner,280,The World of Classical Favourites,3411,Solomon HWV 67: The Arrival of the Queen of Sheba,Classical,24
257,"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",327,Bach: Orchestral Suites Nos. 1 - 4,3482,"Suite No. 3 in D, BWV 1068: III. Gavotte I & II",Classical,24
2,Accept,2,Balls to the Wall,2,Balls to the Wall,Rock,1
2,Accept,3,Restless and Wild,3,Fast As a Shark,Rock,1
2,Accept,3,Restless and Wild,5,Princess of the Dawn,Rock,1
2,Accept,3,Restless and Wild,4,Restless and Wild,Rock,1
1,AC/DC,1,For Those About To Rock We Salute You,12,Breaking The Rules,Rock,1
1,AC/DC,1,For Those About To Rock We Salute You,11,C.O.D.,Rock,1
1,AC/DC,1,For Those About To Rock We Salute You,10,Evil Walks,Rock,1
1,AC/DC,1,For Those About To Rock We Salute You,1,For Those About To Rock (We Salute You),Rock,1
1,AC/DC,1,For Those About To Rock We Salute You,8,Inject The Venom,Rock,1
1,AC/DC,1,For Those About To Rock We Salute You,7,Let's Get It Up,Rock,1
1,AC/DC,1,For Those About To Rock We Salute You,13,Night Of The Long Knives,Rock,1
1,AC/DC,1,For Those About To Rock We Salute You,6,Put The Finger On You,Rock,1
1,AC/DC,1,For Those About To Rock We Salute You,9,Snowballed,Rock,1
1,AC/DC,1,For Those About To Rock We Salute You,14,Spellbound,Rock,1
1,AC/DC,4,Let There Be Rock,18,Bad Boy Boogie,Rock,1
1,AC/DC,4,Let There Be Rock,16,Dog Eat Dog,Rock,1
1,AC/DC,4,Let There Be Rock,15,Go Down,Rock,1
1,AC/DC,4,Let There Be Rock,21,Hell Ain't A Bad Place To Be,Rock,1
1,AC/DC,4,Let There Be Rock,17,Let There Be Rock,Rock,1
1,AC/DC,4,Let There Be Rock,20,Overdose,Rock,1
1,AC/DC,4,Let There Be Rock,19,Problem Child,Rock,1
1,AC/DC,4,Let There Be Rock,22,Whole Lotta Rosie,Rock,1
